=== RELATÓRIO ===
Inicio Teste: 2025-11-28 10:32:00.793355

img_CGNE_sinal_1_30x30.csv_python.png - Arquivo: CGNE, Inicio: 2025-11-28 10:32:03, Fim: 2025-11-28 10:32:21, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 17.8496994972229 s, Tempo Req Total: 20.0517 s, Modelo: H_30x30.csv, Sinal: sinal_1_30x30.csv, Ganho: Dinâmico
img_CGNR_sinal_1_30x30.csv_python.png - Arquivo: CGNR, Inicio: 2025-11-28 10:32:03, Fim: 2025-11-28 10:32:21, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 18.577107191085815 s, Tempo Req Total: 20.6476 s, Modelo: H_30x30.csv, Sinal: sinal_1_30x30.csv, Ganho: Dinâmico
img_CGNE_sinal_1_60x60.csv_python.png - Arquivo: CGNE, Inicio: 2025-11-28 10:32:02, Fim: 2025-11-28 10:32:21, Tamanho: 60x60, Iterações: 10, Tempo Servidor: 18.97207260131836 s, Tempo Req Total: 21.0789 s, Modelo: H_60x60.csv, Sinal: sinal_1_60x60.csv, Ganho: Dinâmico
img_CGNR_sinal_1_60x60.csv_python.png - Arquivo: CGNR, Inicio: 2025-11-28 10:32:02, Fim: 2025-11-28 10:32:22, Tamanho: 60x60, Iterações: 10, Tempo Servidor: 19.165153741836548 s, Tempo Req Total: 21.2183 s, Modelo: H_60x60.csv, Sinal: sinal_1_60x60.csv, Ganho: Dinâmico
img_CGNE_sinal_2_30x30.csv_python.png - Arquivo: CGNE, Inicio: 2025-11-28 10:32:03, Fim: 2025-11-28 10:32:22, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 19.255215644836426 s, Tempo Req Total: 21.3623 s, Modelo: H_30x30.csv, Sinal: sinal_2_30x30.csv, Ganho: Dinâmico
img_CGNR_sinal_2_30x30.csv_python.png - Arquivo: CGNR, Inicio: 2025-11-28 10:32:03, Fim: 2025-11-28 10:32:23, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 20.15740728378296 s, Tempo Req Total: 22.3102 s, Modelo: H_30x30.csv, Sinal: sinal_2_30x30.csv, Ganho: Dinâmico
img_CGNE_sinal_3_30x30.csv_python.png - Arquivo: CGNE, Inicio: 2025-11-28 10:32:03, Fim: 2025-11-28 10:32:23, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 20.039034605026245 s, Tempo Req Total: 22.2254 s, Modelo: H_30x30.csv, Sinal: sinal_3_30x30.csv, Ganho: Dinâmico
img_CGNR_sinal_3_30x30.csv_python.png - Arquivo: CGNR, Inicio: 2025-11-28 10:32:03, Fim: 2025-11-28 10:32:24, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 21.04007315635681 s, Tempo Req Total: 23.1699 s, Modelo: H_30x30.csv, Sinal: sinal_3_30x30.csv, Ganho: Dinâmico
img_CGNR_sinal_2_60x60.csv_python.png - Arquivo: CGNR, Inicio: 2025-11-28 10:32:04, Fim: 2025-11-28 10:32:29, Tamanho: 60x60, Iterações: 10, Tempo Servidor: 25.510201454162598 s, Tempo Req Total: 27.6078 s, Modelo: H_60x60.csv, Sinal: sinal_2_60x60.csv, Ganho: Dinâmico
img_CGNE_sinal_2_60x60.csv_python.png - Arquivo: CGNE, Inicio: 2025-11-28 10:32:04, Fim: 2025-11-28 10:32:30, Tamanho: 60x60, Iterações: 10, Tempo Servidor: 26.534078121185303 s, Tempo Req Total: 28.6746 s, Modelo: H_60x60.csv, Sinal: sinal_2_60x60.csv, Ganho: Dinâmico
img_CGNR_sinal_2_60x60.csv_python.png - Arquivo: CGNR, Inicio: 2025-11-28 10:32:04, Fim: 2025-11-28 10:32:32, Tamanho: 60x60, Iterações: 10, Tempo Servidor: 27.996757984161377 s, Tempo Req Total: 30.0632 s, Modelo: H_60x60.csv, Sinal: sinal_2_60x60.csv, Ganho: Dinâmico
img_CGNE_sinal_2_60x60.csv_python.png - Arquivo: CGNE, Inicio: 2025-11-28 10:32:04, Fim: 2025-11-28 10:32:32, Tamanho: 60x60, Iterações: 10, Tempo Servidor: 28.281054973602295 s, Tempo Req Total: 30.4123 s, Modelo: H_60x60.csv, Sinal: sinal_2_60x60.csv, Ganho: Dinâmico
